date;home_team;away_team;home_score;away_score;tournament;city;country;neutral
04/03/2011;Italy;Canada;0;1;Cyprus Cup;Nicosia;Cyprus;TRUE
04/03/2011;France;Netherlands;1;2;Cyprus Cup;Larnaca;Cyprus;TRUE
04/03/2011;Switzerland;New Zealand;1;2;Cyprus Cup;Larnaca;Cyprus;TRUE
04/03/2011;Russia;Northern Ireland;2;1;Cyprus Cup;Sotira;Cyprus;TRUE
04/03/2011;South Korea;Mexico;1;1;Cyprus Cup;Paralimni;Cyprus;TRUE
05/03/2011;Macedonia;Luxembourg;5;1;UEFA Euro qualification;Strumica;Macedonia;FALSE
05/03/2011;Latvia;Lithuania;1;0;UEFA Euro qualification;Strumica;Macedonia;TRUE
05/03/2011;Armenia;Georgia;0;0;UEFA Euro qualification;Ta' Qali;Malta;TRUE
05/03/2011;Malta;Faroe Islands;0;2;UEFA Euro qualification;Ta' Qali;Malta;FALSE
07/03/2011;Norway;Japan;0;1;Algarve Cup;Parchal;Portugal;TRUE
07/03/2011;United States;Finland;4;0;Algarve Cup;Quarteira;Portugal;TRUE
07/03/2011;China PR;Sweden;0;1;Algarve Cup;Olhão;Portugal;TRUE
07/03/2011;Denmark;Iceland;0;1;Algarve Cup;Lagos;Portugal;TRUE
07/03/2011;Chile;Wales;1;2;Algarve Cup;Faro;Portugal;TRUE
07/03/2011;Portugal;Romania;1;1;Algarve Cup;Parchal;Portugal;FALSE
07/03/2011;Scotland;Italy;0;0;Cyprus Cup;Nicosia;Cyprus;TRUE
07/03/2011;Canada;England;2;0;Cyprus Cup;Nicosia;Cyprus;TRUE
07/03/2011;Netherlands;Switzerland;6;0;Cyprus Cup;Larnaca;Cyprus;TRUE
07/03/2011;New Zealand;France;2;5;Cyprus Cup;Nicosia;Cyprus;TRUE
07/03/2011;Mexico;Northern Ireland;3;1;Cyprus Cup;Sotira;Cyprus;TRUE
07/03/2011;Russia;South Korea;1;2;Cyprus Cup;Paralimni;Cyprus;TRUE
08/03/2011;Lithuania;Luxembourg;4;1;UEFA Euro qualification;Strumica;Macedonia;TRUE
08/03/2011;Macedonia;Latvia;1;0;UEFA Euro qualification;Strumica;Macedonia;FALSE
08/03/2011;Georgia;Faroe Islands;1;0;UEFA Euro qualification;Ta' Qali;Malta;TRUE
08/03/2011;Malta;Armenia;1;1;UEFA Euro qualification;Ta' Qali;Malta;FALSE
09/03/2011;Romania;Chile;1;1;Algarve Cup;Parchal;Portugal;TRUE
09/03/2011;Portugal;Finland;2;1;Algarve Cup;Loulé;Portugal;FALSE
09/03/2011;China PR;Wales;2;1;Algarve Cup;Albufeira;Portugal;TRUE
09/03/2011;Norway;Denmark;0;0;Algarve Cup;Ferreiras;Portugal;TRUE
09/03/2011;Sweden;Japan;1;2;Algarve Cup;Parchal;Portugal;TRUE
09/03/2011;Iceland;United States;2;4;Algarve Cup;Faro;Portugal;TRUE
09/03/2011;Switzerland;Northern Ireland;2;1;Cyprus Cup;Larnaca;Cyprus;TRUE
09/03/2011;Italy;Russia;2;0;Cyprus Cup;Nicosia;Cyprus;TRUE
09/03/2011;New Zealand;Mexico;0;5;Cyprus Cup;Paralimni;Cyprus;TRUE
09/03/2011;England;South Korea;2;0;Cyprus Cup;Larnaca;Cyprus;TRUE
09/03/2011;Scotland;France;0;3;Cyprus Cup;Nicosia;Cyprus;TRUE
09/03/2011;Canada;Netherlands;2;1;Cyprus Cup;Paralimni;Cyprus;TRUE
19/05/2011;Iceland;Bulgaria;6;0;UEFA Euro qualification;Reykjavík;Iceland;FALSE
26/06/2011;Nigeria;France;0;1;FIFA World Cup;Sinsheim;Germany;TRUE
26/06/2011;Germany;Canada;2;1;FIFA World Cup;Berlin;Germany;FALSE
27/06/2011;Japan;New Zealand;2;1;FIFA World Cup;Bochum;Germany;TRUE
27/06/2011;Mexico;England;1;1;FIFA World Cup;Wolfsburg;Germany;TRUE
28/06/2011;Colombia;Sweden;0;1;FIFA World Cup;Leverkusen;Germany;TRUE
28/06/2011;United States;North Korea;2;0;FIFA World Cup;Dresden;Germany;TRUE
29/06/2011;Norway;Equatorial Guinea;1;0;FIFA World Cup;Augsburg;Germany;TRUE
29/06/2011;Brazil;Australia;1;0;FIFA World Cup;Mönchengladbach;Germany;TRUE
30/06/2011;Canada;France;0;4;FIFA World Cup;Bochum;Germany;TRUE
30/06/2011;Germany;Nigeria;1;0;FIFA World Cup;Frankfurt;Germany;FALSE
01/07/2011;Japan;Mexico;4;0;FIFA World Cup;Leverkusen;Germany;TRUE
01/07/2011;New Zealand;England;1;2;FIFA World Cup;Dresden;Germany;TRUE
02/07/2011;North Korea;Sweden;0;1;FIFA World Cup;Augsburg;Germany;TRUE
02/07/2011;United States;Colombia;3;0;FIFA World Cup;Sinsheim;Germany;TRUE
03/07/2011;Australia;Equatorial Guinea;3;2;FIFA World Cup;Bochum;Germany;TRUE
03/07/2011;Brazil;Norway;3;0;FIFA World Cup;Wolfsburg;Germany;TRUE
05/07/2011;Germany;France;4;2;FIFA World Cup;Mönchengladbach;Germany;FALSE
05/07/2011;Canada;Nigeria;0;1;FIFA World Cup;Dresden;Germany;TRUE
05/07/2011;England;Japan;2;0;FIFA World Cup;Augsburg;Germany;TRUE
05/07/2011;New Zealand;Mexico;2;2;FIFA World Cup;Sinsheim;Germany;TRUE
06/07/2011;Sweden;United States;2;1;FIFA World Cup;Wolfsburg;Germany;TRUE
06/07/2011;North Korea;Colombia;0;0;FIFA World Cup;Bochum;Germany;TRUE
06/07/2011;Equatorial Guinea;Brazil;0;3;FIFA World Cup;Frankfurt;Germany;TRUE
06/07/2011;Australia;Norway;2;1;FIFA World Cup;Leverkusen;Germany;TRUE
09/07/2011;England;France;1;1;FIFA World Cup;Leverkusen;Germany;TRUE
09/07/2011;Germany;Japan;0;1;FIFA World Cup;Wolfsburg;Germany;FALSE
10/07/2011;Sweden;Australia;3;1;FIFA World Cup;Augsburg;Germany;TRUE
10/07/2011;Brazil;United States;2;2;FIFA World Cup;Dresden;Germany;TRUE
13/07/2011;France;United States;1;3;FIFA World Cup;Mönchengladbach;Germany;TRUE
13/07/2011;Japan;Sweden;3;1;FIFA World Cup;Frankfurt;Germany;TRUE
16/07/2011;Sweden;France;2;1;FIFA World Cup;Sinsheim;Germany;TRUE
17/07/2011;Japan;United States;2;2;FIFA World Cup;Frankfurt;Germany;TRUE
25/08/2011;Belarus;Estonia;2;1;UEFA Euro qualification;Molodechno;Belarus;FALSE
14/09/2011;Israel;France;0;5;UEFA Euro qualification;Ness Ziona;Israel;FALSE
17/09/2011;Bosnia and Herzegovina;Italy;0;1;UEFA Euro qualification;Sarajevo;Bosnia and Herzegovina;FALSE
17/09/2011;Kazakhstan;Romania;0;3;UEFA Euro qualification;Shymkent;Kazakhstan;FALSE
17/09/2011;Germany;Switzerland;4;1;UEFA Euro qualification;Augsburg;Germany;FALSE
17/09/2011;Turkey;Spain;1;10;UEFA Euro qualification;Istanbul;Turkey;FALSE
17/09/2011;Belgium;Hungary;2;1;UEFA Euro qualification;Dessel;Belgium;FALSE
17/09/2011;Iceland;Norway;3;1;UEFA Euro qualification;Reykjavík;Iceland;FALSE
17/09/2011;Wales;Republic of Ireland;0;2;UEFA Euro qualification;Newport;Wales;FALSE
17/09/2011;Serbia;England;2;2;UEFA Euro qualification;Belgrade;Serbia;FALSE
17/09/2011;Armenia;Portugal;0;8;UEFA Euro qualification;Yerevan;Armenia;FALSE
17/09/2011;Austria;Czech Republic;1;1;UEFA Euro qualification;Vöcklabruck;Austria;FALSE
18/09/2011;Estonia;Ukraine;1;4;UEFA Euro qualification;Tallinn;Estonia;FALSE
21/09/2011;Poland;Russia;0;20;UEFA Euro qualification;Racibórz;Poland;FALSE
21/09/2011;Switzerland;Romania;4;1;UEFA Euro qualification;Aarau;Switzerland;FALSE
21/09/2011;Norway;Hungary;6;0;UEFA Euro qualification;Nadderud;Norway;FALSE
21/09/2011;Iceland;Belgium;0;0;UEFA Euro qualification;Reykjavík;Iceland;FALSE
21/09/2011;Netherlands;Serbia;6;0;UEFA Euro qualification;Velsen-Zuid;Netherlands;FALSE
21/09/2011;Armenia;Denmark;0;5;UEFA Euro qualification;Yerevan;Armenia;FALSE
22/09/2011;Kazakhstan;Turkey;2;0;UEFA Euro qualification;Shymkent;Kazakhstan;FALSE
22/09/2011;Republic of Ireland;France;1;3;UEFA Euro qualification;Cork;Republic of Ireland;FALSE
22/09/2011;England;Slovenia;4;0;UEFA Euro qualification;Swindon;England;FALSE
